url,name,instructor,enroll,description,skills,relative,rate,time,level,image
https://www.coursera.org/specializations/software-engineering-fundamentals,Applied Software Engineering Fundamentals Specialization,Abhishek Gagneja,"5,771","Describe software development and related technologies; outline approaches to deployment architectures; and summarize career options in the field. Explain the role of version control and collaborative coding in SDLC &amp; DevOps; Create GitHub repositories and use branching with Git commands.List and execute commonly used Linux commands, utilize pipes and redirection, create simple shell scripts using BASH, schedule jobs using Cron. Create, package, and deploy Python applications using knowledge of programming constructs, libraries, APIs and web services.","Software Design and Architecture,Python Programming,Git and GitHub,Software Development Lifecycle (SDLC),Linux","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.7,2 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/ai-foundations-for-everyone,AI Foundations for Everyone Specialization,Rav Ahuja,"1,891",,"Artificial Intelligence (AI),ChatGPT,Large Language Models (LLM),Natural Language Generation,Generative AI,Data Science,Machine Learning,Deep Learning,Jobs,Prompt Engineering,prompt patterns",New to Data Analysis? Start here.,4.7,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/prompt-engineering,Prompt Engineering Specialization,Dr. Jules White,"14,637",,"Prompt Engineering,ChatGPT,Generative AI,ChatGPT Advanced Data Analysis",New to Machine Learning? Start here.,4.9,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Cloud Application Development Foundations Specialization,IBM Skills Network Team,,"Define cloud computing and explain its essential characteristics, models, benefits, infrastructure, &amp; emerging trends. Create a cloud accountDevelop with front-end development languages and tools such as HTML, CSS, Javascript and React  Program applications with back-end development languages and tools such as Node.js  and NoSQL databasesBuild and deploy applications using Cloud Native methodologies and tools, CI/CD toolchains, and build your portfolio using GitHub","Server-side JavaScript,back-end development,Computer Science,Web Development,express,Continuous Integration,Continuous Delivery,Mongodb,agile,Devops,Cloud Computing,Hybrid Multicloud,Iaas PaaS Saas,Cloud Native,React (Web Framework),Front-end Development,JavaScript,User Interface,Git (Software),HTML,Cascading Style Sheets (CSS),View all skills",New to Cloud Computing? Start here.,4.6,2 months at 10 hours a week,Beginner level,
https://www.coursera.org/learn/generative-ai-with-llms,Generative AI with Large Language Models,,,"Gain foundational knowledge, practical skills, and a functional understanding of how generative AI worksDive into the latest research on Gen AI to understand how companies are creating value with cutting-edge technologyInstruction from expert AWS AI practitioners who actively build and deploy AI in business use-cases today","Python Programming,Machine Learning,Large Language Models,LLMs,Generative AI","Learner reviewsShowing 3 of 16624.81,662 reviews5 stars83.19%4 stars13.51%3 stars2.15%2 stars0.41%1 star0.71%CC5Reviewed on Jul 11, 2023A very good course covering many different areas, from use cases, to the mathematical underpinnings and the societal impacts. And having the labs to actually get to play around with the algorithms.SSV5Reviewed on Oct 9, 2023Great course. Complex topics explained in a simple yet effective way. Lots of insights on what happens beneath the hood with the aid of use cases. Really enjoyed the learning.MMF5Reviewed on Sep 6, 2023This was one of the best courses I have taken in my career. The instructors did a wonderful job breaking the content up into chunks and focusing on the architecture vs product.View more reviews",,,,
https://www.coursera.org/professional-certificates/bi-analyst,IBM Business Intelligence (BI) Analyst Professional Certificate,Dr. Pooja,,"Build skills in SQL queries, relational databases, data gathering and cleaning, data warehousing, data analysis and reporting techniques.Apply statistical analysis methods to identify trends, create visualizations, and build dashboards using Tableau, Excel, Cognos, and Looker.Generate valuable insights through data warehousing, profiling, and evaluation, leading to informed decision-making and process improvement.Utilize BI analytics to consult with stakeholders, define goals, implement strategies, and develop effective projects for a rewarding career in BI.","Data Collection,Data Wrangling,Data Analysis,BI analytics,Data Warehousing,Data visualization with Tableau,SQL,Data Cleansing,Data Mining,Tableau reporting and dashboard creation,Relational Database Management Systems (RDBMS),Database querying using SQL,View all skills",New to Data Management? Start here.,4.9,Flexible schedule,Beginner level,
https://www.coursera.org/professional-certificates/google-advanced-data-analytics,Google Advanced Data Analytics Professional Certificate,Google Career Certificates,"71,242",Explore the roles of data professionals within an organization Create data visualizations and apply statistical methods to investigate dataBuild regression and machine learning models to analyze and interpret dataCommunicate insights from data analysis to stakeholders,"Data Science,Data Analysis,Python Programming,Jupyter Notebook,Machine Learning,Statistical Analysis,Tableau Software,Data Visualization,Predictive Modelling,Kaggle,Exploratory Data Analysis (EDA),Regression Models,View all skills","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.7,6 months at 10 hours a week,Advanced level,
https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,"DevOps, Cloud, and Agile Foundations Specialization",John Rofrano,"12,930","DevOps essential characteristics including culture, behavior, practices, tools, methodologies, technologies and metrics.Core concepts of Cloud Computing, including its benefits, models, use cases,  platforms, services, resources and opportunities.Agile practices of small batches, minimum viable products, pair programming, behavior- and test-driven development. Scrum methodologies to create a product backlog, write user stories, use the sprint planning process, and measure performance.","Cloud Computing,agile,Devops,Scrum,Cloud Native",New to Design and Product? Start here.,4.8,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,IBM and ISC2 Cybersecurity Specialist Professional Certificate,IBM Skills Network Team,,"Recognize the importance of data security and integrity and identify preferred practices for authentication, encryption, and device security.Develop working knowledge of different security threats, breaches, malware, social engineering, and other attack vectors.Master the most up-to-date practical skills and knowledge cybersecurity specialists use in their daily roles.Identify types of network (cyber) threats and attacks and leverage common tools to prevent these threats.","Cyberattacks,Network Security,Threat,Computer Security Incident Management,Cybersecurity,Breach (Security Exploit),security analyst,cyber attack,Risk,security,governance,Information Assurance,Cloud Computing,Hybrid Multicloud,Devops,Iaas PaaS Saas,Cloud Native,Business Continuity,Disaster Recovery,Logical Controls,administrative controls,Physical Controls,Asset,Cryptography,Data Security,Technical Support,Operating Systems,Troubleshooting,hardware,IT Fundamentals,Information Security (INFOSEC),Application Security,Wireless Networks,Network Troubleshooting,Network Architecture,Cloud Storage,Networking Hardware,Software Application Development,Computer Programming,Software Development Process,Database basics,Cybersecurity Careers,CompTIA Certifications,ISC2 certifications,View all skills",New to Security? Start here.,4.7,3 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/meta-front-end-developer,Meta Front-End Developer Professional Certificate,Taught by Meta Staff,"239,516","Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. Learn to use React in relation to Javascript libraries and frameworks.Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control.Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.","HTML,UI/UX design,JavaScript,Cascading Style Sheets (CSS),React","Why people choose Coursera for their careergo to previous testimonial“The experience from taking certificates from Coursera was good. The Meta Front-End Developer Professional Certificate helped me tie together a lot of concepts I had been learning about and worked with in the past. It has given me the confidence to start my own projects and apply for full-stack positions.
Alberto V.Learning from MexicoMeta Front-End Developer“The experience from taking certificates from Coursera was good. The Meta Front-End Developer Professional Certificate helped me tie together a lot of concepts I had been learning about and worked with in the past. It has given me the confidence to start my own projects and apply for full-stack positions.
Alberto V.Learning from MexicoMeta Front-End Developergo to next testimonial",4.7,7 months at 6 hours a week,Beginner level,
